sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition,modelNumber,salePrice,bestseller,rank
6255530,Apple - Geek Squad Certified Refurbished iPhone 8 64GB - Space Gray (Sprint),3.0,1.0,False,Apple,phone,Refurbished,GSRF MQ6K2LL/A,649.99,False,
6304048,Apple - Geek Squad Certified Refurbished iPhone X 256GB - Space Gray (Sprint),,,,Apple,phone,Refurbished,GSRF MQA82LL/A,1049.99,False,
6304051,Apple - Geek Squad Certified Refurbished iPhone X 64GB - Space Gray (Sprint),,,,Apple,phone,Refurbished,GSRF MQA52LL/A,899.99,False,
6304057,Apple - Geek Squad Certified Refurbished iPhone 8 256GB - Space Gray (Sprint),3.0,1.0,False,Apple,phone,Refurbished,GSRF MQ7F2LL/A,749.99,False,
6573522,Apple - Geek Squad Certified Refurbished iPhone 12 Pro Max 5G 128GB - Gold (Verizon),3.4,5.0,False,Apple,phone,Refurbished,GSRF MGCH3LL/A,335.97,True,1.0
6573863,Apple - Geek Squad Certified Refurbished iPhone 12 5G 128GB - Black (Verizon),4.0,4.0,False,Apple,phone,Refurbished,GSRF MGHC3LL/A,186.97,False,
6574061,Apple - Geek Squad Certified Refurbished iPhone 11 64GB - Purple (Verizon),4.1,11.0,False,Apple,phone,Refurbished,GSRF MWLC2LL/A,129.97,False,
6604687,Apple - Geek Squad Certified Refurbished iPhone 15 Pro Max 256GB - Apple Intelligence - White Titanium (AT&T),1.0,1.0,False,Apple,phone,Refurbished,TI-GSRF MU673LL/A,704.49,False,
6643794,Google - Pixel 10 128GB (Verizon) - Obsidian,,,,Google,phone,New,GA09425-US,799.99,True,9.0
6643795,Google - Pixel 10 Pro 128GB (Verizon) - Obsidian,5.0,1.0,False,Google,phone,New,GA09187-US,999.99,True,6.0
6643797,Google - Pixel 10 Pro XL 256GB (Verizon) - Obsidian,5.0,1.0,False,Google,phone,New,GA09367-US,1199.99,True,4.0
6645943,Google - Pixel 10 Pro XL 256GB - Obsidian (AT&T),,,,Google,phone,New,GA09890-US,1249.99,True,5.0
6645946,Google - Pixel 10 128GB - Obsidian (AT&T),,,,Google,phone,New,GA09861-US,849.99,False,
6645947,Google - Pixel 10 Pro 128GB - Obsidian (AT&T),,,,Google,phone,New,GA09885-US,1049.99,True,8.0
6647901,Motorola - razr+ 2025 256GB - Midnight Blue (AT&T),,,,Motorola,phone,New,XT2557-3,999.99,True,2.0
6647902,Motorola - moto g stylus 5G - 2025 128GB - Gibraltar Sea (AT&T),,,,Motorola,phone,New,XT2517-2,294.99,True,3.0
6605994,"Apple - Geek Squad Certified Refurbished iMac 24"" All-in-One - M3 chip - 8GB Memory - 256GB - Green",,,,Apple,desktop,Refurbished,TI-GSRF-3PL MQRA3LL/A,1299.0,False,
6609195,HP - OmniStudio X 31.5 inch All-in-One Desktop 32-c0010 Intel Core Ultra 7 155H 16GB RAM 2TB SSD Win 11 Home - Meteor Silver,1.0,1.0,False,HP,desktop,New,A5EQ9AA#ABA,2299.99,False,
6609689,Acer - Veriton 4000 Desktop - Intel Core i5-14400 - 16GB Memory - 512GB SSD - Black,,,,Acer,desktop,New,VVX4720GI516G5,819.99,False,
6609690,Acer - Chromebox CXI5 - Intel Core i7-1270P - 16GB Memory - 256GB SSD - Gray,,,,Acer,desktop,New,CXI5I7V16G,919.99,False,
6609692,Acer - Veriton 4000 Desktop - Intel Core i7-14700 - 16GB Memory - 1TB SSD - Black,5.0,1.0,False,Acer,desktop,New,VVX4720GI716G1,1069.99,False,
6613689,HP - OmniDesk Desktop - AMD Ryzen 7 - 16GB DDR5 Memory - NVIDIA GeForce RTX 3050 - 1TB SSD - Gray Wood,4.5,35.0,True,HP,desktop,New,M02-0244,899.99,False,
6613690,HP - OmniDesk Desktop - Intel Core Ultra 7 - 16GB DDR5 Memory - 1TB SSD - Dark Wood,4.7,385.0,True,HP,desktop,New,M03-0054,899.99,False,
6613692,HP - OmniDesk Slim Desktop - Intel Core i3 - 8GB DDR5 Memory - 256GB SSD - Meteor Silver,4.5,135.0,False,HP,desktop,New,S03-0034,499.99,False,
6613693,HP - OmniDesk Desktop - AMD Ryzen 3 - 8GB DDR5 Memory - 256GB SSD - Gray Wood,4.4,51.0,False,HP,desktop,New,M02-0214,429.99,False,
6613695,HP - OmniDesk Desktop - AMD Ryzen 7 - 16GB DDR5 Memory - 1TB SSD - Gray Wood,4.6,451.0,True,HP,desktop,New,M02-0234,599.99,True,1.0
6613696,HP - OmniDesk Desktop - Intel Core Ultra 5 - 16GB DDR5 Memory - 1TB SSD - Dark Wood,4.7,216.0,True,HP,desktop,New,M03-0044,769.99,False,
6613697,HP - OmniDesk Desktop - AMD Ryzen 5 - 16GB DDR5 Memory - 512GB SSD - Gray Wood,4.7,293.0,True,HP,desktop,New,M02-0224,449.99,True,5.0
6613698,HP - OmniDesk Desktop - Intel Core Ultra 7 - 32GB DDR5 Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Dark Wood,4.6,114.0,True,HP,desktop,New,M03-0064,1219.99,False,
6613705,"ASUS - V440 24"" FHD Touch-Screen All-in-One - Intel Core i5 - 16GB Memory - 512GB SSD - White",4.8,47.0,True,ASUS,desktop,New,V440VAT-I5512,689.99,False,
6613706,ASUS - V500 Desktop - Intel Core i5 - 16GB Memory - 1TB SSD - Dark Gray,4.6,147.0,True,ASUS,desktop,New,V500MVC-I51TB,599.99,False,
6613707,ASUS - V500 Desktop - Intel Core i7 - 16GB Memory - 1TB SSD - Dark Gray,4.4,28.0,False,ASUS,desktop,New,V500MVC-I71TB,649.99,False,
6613939,"HP - OmniStudio X - Copilot+ PC - 31.5"" 4K UHD All-in-One with Adjustable Height - Intel Core Ultra 7 - 32GB Memory - 1TB SSD - Meteor Silver",4.6,69.0,True,HP,desktop,New,32-C1014,1719.99,False,
6613940,"HP - OmniStudio X - Copilot+ PC - 27"" 4K UHD All-in-One with Adjustable Height - Intel Core Ultra 7 - 16GB Memory - 1TB SSD - Meteor Silver",4.7,93.0,True,HP,desktop,New,27-CS1014,1519.99,False,
6615250,"HP - 23.8"" Full HD Touch-Screen All-in-One with Adjustable Height - Intel Core i5 - 8GB Memory - 512GB SSD - Shell White",4.8,128.0,True,HP,desktop,New,24-CR0034,599.99,True,8.0
6615251,"HP - 23.8"" Full HD Touch-Screen All-in-One - Intel Core i3 - 8GB Memory - 512GB SSD - Shell White",4.7,131.0,True,HP,desktop,New,24-CR0014,499.99,True,6.0
6618308,Refurbished Dell OptiPlex 7070 Micro Desktop – Intel Core i7-9700T – 16GB Memory – 512GB SSD - Black,,,,Dell,desktop,Refurbished,J1-7070MA15,521.99,False,
6618309,Refurbished Dell OptiPlex 3080 Micro Desktop – Intel Core i5-10500T – 16GB Memory – 512GB NVMe SSD – Internal WiFi - Black,4.0,1.0,False,Dell,desktop,Refurbished,J1-3080MA02,544.99,False,
6618310,Refurbished Dell OptiPlex 3070-MICRO Desktop - Intel Core i5 - 16GB Memory - 500GB NVMe - Win11P64- Internal WIFI - Black,5.0,1.0,False,Dell,desktop,Refurbished,J1-3070MA02,386.99,False,
6618312,Refurbished Dell OptiPlex 7070 Micro Desktop – Intel Core i5-9500T – 16GB Memory – 512GB SSD - Black,5.0,5.0,False,Dell,desktop,Refurbished,J1-7070MA14,420.99,False,
6618848,"Lenovo - IdeaCentre AIO 23.8"" Full HD Touchscreen All-In-One - AMD Ryzen 3 7335U - 8GB Memory - 256GB SSD - Luna Grey",5.0,5.0,False,Lenovo,desktop,New,F0HR0009US,599.99,False,
6618849,"Lenovo - Yoga AIO 27"" All-In-One - Intel Core Ultra 7 Processor 255H - 16GB Memory - 1TB SSD - Luna Grey",4.8,20.0,True,Lenovo,desktop,New,F0J20012US,1319.99,False,
6618850,"Lenovo - A100 23.8"" Full HD All-In-One - Intel Processor N100 - 8GB Memory - 256GB SSD - Cloud Grey",4.7,114.0,True,Lenovo,desktop,New,F0J60008US,449.99,False,
6618852,Lenovo - IdeaCentre Mini Desktop - Intel Core 7 Processor 240H - 16GB Memory - 512GB SSD - Luna Grey,4.7,19.0,True,Lenovo,desktop,New,91B20000UT,599.99,True,10.0
6620120,"HP - 27"" Touch-Screen All-in-One with Adjustable Height - AMD Ryzen 7 - 32GB Memory - 1TB SSD - Jet Black",4.9,32.0,True,HP,desktop,New,27-CR0044,1299.99,False,
