sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6636904,"Lenovo - T14 G2 14"" Refurbished Laptop - Intel 11th Gen Core i7 with 16GB Memory - Intel Iris Xe Graphics - 512GB SSD - Black",3.0,1.0,False,Lenovo,SO LAPTOPS,Refurbished
6636905,"HP - EliteBook 840 G7 14"" Refurbished Laptop - Intel 10th Gen Core i5 with 32GB Memory - Intel UHD Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6636906,"HP - EliteBook 850 G7 15.6"" Refurbished Laptop - Intel 10th Gen Core i7 with 32GB Memory - Intel UHD Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6636931,"HP - OmniBook X - Copilot+ PC - 17.3"" Full HD Touch-Screen Laptop - Intel Core Ultra 9 - 32GB Memory - 2TB SSD - Glacier Silver",4.8,51.0,True,HP,BLUE LABEL,New
6637409,"HP - 15.6"" Laptop - Intel Core i3 - 8GB Memory - 128GB UFS - Natural Silver",4.7,196.0,True,HP,BURST,New
6637503,"HP - 15.6"" Full HD Touch-Screen Laptop - Intel Core i5 - 16GB Memory - 512GB SSD - Natural Silver",4.8,27.0,True,HP,BURST,New
6637506,"HP - 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD - Natural Silver",,,,HP,BURST,New
6637780,"GIGABYTE - AERO X16- Copilot+ PC - 16"" 165Hz 2560x1600 WQXGA AMD Ryzen AI 7 350 - 1TB SSD - 32GB DDR5 RAM NVIDIA GeForce RTX 5070 - Lunar White",,,,GIGABYTE,GAMING LAPTOPS,New
6638817,"HP - EliteBook 840 G6 14"" Refurbished Laptop - Intel 8th Gen Core i5 with 32GB Memory - Intel UHD Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6638818,"HP - ZBook Firefly 15 G7 15.6"" Refurbished Laptop - Intel Core i7 with 32GB RAM - Nvidia Quadro P520 4GB - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6638906,"ASUS - Vivobook 16 16"" FHD+ Laptop - Copilot+ PC - AMD Ryzen AI 5 330 with 16GB Memory - 512GB SSD - Quiet Blue",,,,ASUS,BURST,New
6638907,"ASUS - Vivobook 14 14"" FHD+ Laptop - Copilot+ PC - Snapdragon X with 16GB Memory - 512GB SSD - Quiet Blue",,,,ASUS,BURST,New
6638909,"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core 5 120U with 8GB Memory - 256GB SSD - Quiet Blue",,,,ASUS,BURST,New
6638910,"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core i3-1315U with 8GB Memory - 128GB SSD - Quiet Blue",,,,ASUS,BURST,New
6638992,"HP - EliteBook Ultra G1i 14"" IPS OLED 2880 x 1800 (2.8K) Touch Screen Laptop -Intel Core Ultra 7 with 32GB Memory - 512GB SDD - Atmosphere Blue, Blue",,,,HP,SO LAPTOPS,New
6638993,"HP - EliteBook X G1a 14"" IPS OLED 2880 x 1800 (2.8K) Touch Screen Laptop - AMD Ryzen AI 7 PRO with 64GB Memory - 1 TB SSD - Glacier Silver, Silver",,,,HP,SO LAPTOPS,New
6638994,"HP - EliteBook Ultra G1i 14"" IPS OLED 2880 x 1800 (2.8K) Touch Screen Laptop -Intel Core Ultra 5 with 32GB Memory -512GB SDD - Atmosphere Blue, Blue",,,,HP,SO LAPTOPS,New
6639031,"Dell - Pro Max 14"" LCD 1920 x 1200 (Full HD Plus) Laptop - Intel Core Ultra 7 with 32GB Memory - 512 GB SSD - Black",,,,Dell,SO LAPTOPS,New
6639086,"HP - OmniBook 3 - Copilot+ PC - 15.6"" Full HD Touch-Screen Laptop - AMD Ryzen 5 AI 5 330 - 16GB Memory - 512GB SSD - Glacier Silver",4.5,31.0,True,HP,BURST,New
6639090,"Acer - Chromebook Plus Spin 514 -14"" WUXGA Touch Laptop with Google AI- MediaTek Kompanio Ultra-12GB RAM- UFS 256GB - Wi-Fi 7 - Platinum Silver",4.5,8.0,False,Acer,CHROME,New
6639112,"Dell - Pro 14 Plus 14"" IPS LCD 1920 x 1200 (Full HD Plus) Laptop - Intel Core Ultra 7 with 16GB Memory - 512 GB SSD - Aluminum, Gray",,,,Dell,SO LAPTOPS,New
6640893,"HP - OmniBook 5 - Copilot+ PC - 16"" 2K OLED Touch-Screen Laptop - Snapdragon X Plus - 16GB Memory - 1TB SSD - Glacier Silver",4.9,9.0,False,HP,BLUE LABEL,New
6640898,"Lenovo - Chromebook Plus 2-in-1 14"" Full HD Touchscreen Laptop - Intel Core 3 Processor N355 - 8GB Memory - 128GB UFS - Cosmic Blue",,,,Lenovo,CHROME,New
6641737,"Dell - Pro 14 Plus 14"" IPS 1920 x 1200 (Full HD Plus) Laptop - Intel Core Ultra 5 with 16GB Memory - 256 GB SSD - Silver",,,,Dell,SO LAPTOPS,New
6641741,"Dell - Pro 14 Plus 14"" IPS 1920 x 1200 (Full HD Plus) Laptop - AMD Ryzen 5 PRO with 16GB Memory - 512 GB SSD - Magnetite, Other",,,,Dell,SO LAPTOPS,New
6641897,"HP - ZBook 16"" Laptop - Intel Core Ultra 9 285H with 64GB Memory - 1TB SSD - Meteor Silver",,,,HP,SO LAPTOPS,New
6642209,"Dell - DC15255 - 15.6"" 2K Laptop - AMD Ryzen 7 7730U 2023 - 16GB Memory - 1TB Storage - Carbon Black",,,,Dell,BURST,New
6642210,"Dell - DC15250 - 15.6"" 2K Touchscreen Laptop - Intel Core i7 1355U 2023 - 16GB Memory - 1TB Storage - Carbon Black",4.9,14.0,False,Dell,BURST,New
6642211,"Dell - DC15250 - 15.6"" 2K Touchscreen Laptop - Intel Core i5 1334U 2023 - 8GB Memory - 512GB Storage - Carbon Black",,,,Dell,BURST,New
6642532,"MSI - Summit 2-in-1 13.4"" Touchscreen Laptop - Intel Core i7 1360P with 16GB Memory - 1TB SSD - Ink Black",,,,MSI,SO LAPTOPS,New
6642542,"MSI - Creator M14 A13V 14"" IPS 2880 x 1800 (2.8K) Laptop - Intel Core i7 with 32GB Memory - 2 TB SSD - Lunar Gray, Gray",,,,MSI,SO LAPTOPS,New
6642936,"ASUS - ProArt P16 16"" 3K 120Hz OLED Touch Screen Laptop - Copilot+ PC - AMD Ryzen AI 9 HX 370 - 32GB RAM - RTX 5070 - 2TB SSD - Nano Black",,,,ASUS,BLUE LABEL,New
6643044,"ASUS - Chromebook Vibe CX34 Flip 14"" FHD Touch Chromebook Laptop - Intel Core i5 with 8GB Memory - 256GB SSD - Pearl White",,,,ASUS,SO LAPTOPS,New
6643159,"Dell - Pro 14 14"" IPS LCD 1920 x 1200 (Full HD Plus) Laptop - Intel Core Ultra 7 with 16GB Memory - 512 GB SSD - Platinum, Gray",,,,Dell,SO LAPTOPS,New
6643388,"HP - EliteBook 850 G7 15.6"" Refurbished Touch-Screen Laptop - Intel Core i7 with 16GB Memory - Intel UHD Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6643389,"HP - EliteBook 845 G8 14"" Refurbished Laptop - AMD Ryzen 5 Pro 5650U with 32GB Memory - AMD Radeon Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6643390,"Dell - Precision 3561 15.6"" Refurbished Touch-Screen Laptop - Intel 11th Gen Core i5 with 32GB Memory - NVIDIA T600 - 1TB SSD - Gray",,,,Dell,SO LAPTOPS,Refurbished
6643392,"HP - EliteBook 850 G7 15.6"" Refurbished Touch-Screen Laptop - Intel Core i7 with 32GB Memory - Intel UHD Graphics - 1TB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6643393,"HP - EliteBook 845 G8 14"" Refurbished Laptop - AMD Ryzen 5 Pro 5650U with 16GB Memory - AMD Radeon Graphics - 256GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6643394,"Dell - Precision 3560 15.6"" Refurbished Laptop - Intel 11th Gen Core i7 with 32GB Memory - Intel Iris Xe Graphics - 1TB SSD - Gray",2.0,1.0,False,Dell,SO LAPTOPS,Refurbished
6643396,"HP - EliteBook 845 G7 14"" Refurbished Laptop - AMD Ryzen 5 Pro 4650U with 32GB Memory - AMD Radeon Graphics - 512GB SSD - Silver",,,,HP,SO LAPTOPS,Refurbished
6643399,"Dell - Precision 3561 15.6"" Refurbished Laptop - Intel 11th Gen Core i5 with 32GB Memory - NVIDIA T600 - 512 SSD - Gray",,,,Dell,SO LAPTOPS,Refurbished
6643647,"ASUS - Vivobook 18 18"" WUXGA Laptop - AMD Ryzen 7 260 with 16GB RAM - 512GB SSD - Quiet Blue",,,,ASUS,SO LAPTOPS,New
6643648,"ASUS - V16 16"" FHD+ 144Hz Gaming Laptop - Intel Core 7 240H with 16GB Memory - NVIDIA RTX 5060 - 512GB SSD - Matte Black",,,,ASUS,SO LAPTOPS,New
6643650,"ASUS - Chromebook CM14 Flip 14"" Touch Laptop - Mediatek Kompanio 520 with 8GB Memory - 64GB eMMC - Gravity Grey",,,,ASUS,SO LAPTOPS,New
6643653,"ASUS - V16 16"" FHD+ 144Hz Gaming Laptop - Intel Core 7 240H with 16GB Memory - NVIDIA RTX 5060 - 1TB SSD - Matte Black",,,,ASUS,SO LAPTOPS,New
6643654,"MSI - Creator A16 AI+ - Copilot+PC - 16"" 240Hz Gaming Laptop QHD+ - AMD R7-350 with 32GB Memory - GeForce RTX 4060 - 1TBSSD - Lunar Gray",,,,MSI,SO LAPTOPS,New
6643754,"Dell - Inspiron - 14"" 2K 2-in-1 Touchscreen Laptop - AMD Ryzen 5 8640HS 2023 - 16GB Memory - 512GB Storage - Ice Blue",,,,Dell,BLUE LABEL,New
6644925,"Lenovo - ThinkPad P16s Gen 4 16"" Laptop - AMD Ryzen AI 7 PRO with 32GB Memory - 512GB SSD - Black",,,,Lenovo,SO LAPTOPS,New
