itemNumber,class,name,customerReviewAverage,customerReviewCount,customerTopRated,modelNumber,salePrice,manufacturer,isRefurbished
83-360-831,desktop,ABS Cyclone Aqua Gaming PC - Windows 11 - Intel Core i5-14400F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA14400F5060,4.6,275,True,CA14400F5060,799.99,ABS,False
83-360-849,desktop,ABS Eurus Aqua Gaming PC - Windows 11 - Intel Core i9-14900KF - GeForce RTX 5070 Ti -  DLSS 4 - AI-Powered Performance - 32GB DDR5 6400 - 2TB M.2 NVMe SSD - EA14900KF5070TI2,4.4,161,False,EA14900KF5070TI2,1849.99,ABS,False
9SIC01CKMH7710,desktop,"AOACE Gaming PC Desktop AMD Ryzen 7 5700X,RTX 5060 8G  32GB RAM and 1TB NVMe M.2 SSD, WiFi6E, ARGB Fan, Game Design Office console,Sea View Room Windows 11",4.7,892,True,R7 5700X-RTX568-D432G-1T,889.0,AOACE,False
83-360-857,desktop,ABS Cyclone Aqua Gaming PC - Windows 11 - Intel Core i7-14700F - GeForce RTX 5060 -  DLSS 4 - AI-Powered Performance - 32GB DDR5 6400 - 1TB M.2 NVMe SSD - CA14700F50602,4.1,70,False,CA14700F50602,999.99,ABS,False
83-151-690,desktop,MSI Gaming Desktop PC Codex R2 B14NVL5-449US Intel Core i5-14400F 32GB DDR5 2TB SSD GeForce RTX 5060 Windows 11 Home,4.4,45,False,Codex R2 B14NVL5-449US,899.0,MSI,False
83-420-027,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i7-14700F NVIDIA GeForce RTX 5060 Ti 16GB – AI Powered 32GB 6000MHz RGB 2TB NVMe SSD 650W PSU Windows 11 Home - SI1470FCC-56VN1,4.7,60,True,SI1470FCC-56VN1,1289.99,STORMCRAFT,False
9SIBWW1KCK3454,desktop,"YAWYORE Gaming PC Desktop Computer,AMD Ryzen 5 5600GT,16GB RAM and 1TB M.2 NVMe PCle4.0,ARGB FAN,Wi-Fi+BT,Game Design Office console,Sea View Room,Prebuilt Gaming PC",4.8,442,True,MX240-R5 5600GT-16G-1TB,419.99,YAWYORE,False
83-360-917,desktop,ABS Flux II Aqua Gaming PC - Windows 11 - Intel Core 5 120F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - FA120F5060,5.0,6,False,FA120F5060,749.99,ABS,False
9SIBX22KD56353,desktop,"Suevery Gaming Desktop PC, AMD Ryzen 5 5600, Radeon RX 6500, 16GB, DDR4, 1TB NVMe SSD, WiFi 6, B450 Motherboard, WiFi 6",0.0,0,False,SUT1W3,549.99,suevery,False
9SIBNXWK4P7450,desktop,"MLOONG Gaming PC,AMD Ryzen 5 5500 4.2 GHz, AMD Radeon RX 6600 8GB Desktop Computer, 1TB NVMe SSD, 16GB DDR4 3200MHz, Air Cooled Prebuilt,650W PSU, Windows 11 Home,Tower Prebuilt  PC",4.8,173,True,601MLT0LFR5161A,659.0,MLOONG,False
9SIC10UKG85926,desktop,"YLZKIX Gaming PC,AMD Ryzen 5 5600 3.5GHz(up to 4.4GHz), Radeon RX 6600 8GB Desktop Computer, 1TB NVMe SSD, 16GB DDR4 3200MHz, ,550W PSU,USB WIFI6&Bluetooth Windows 11 Home & AI Powered Gamer PC",4.9,12,False,R5 56X-RX6600-16G-1T,659.99,YLZKIX,False
9SIB0GJKHN3879,desktop,"HP OMEN 16L i7 Gaming Tower Desktop, Intel Core i7-14700F, NVIDIA GeForce RTX 4060, 16GB DDR5 RAM, 1TB SSD, DP, RJ-45, Wi-Fi 6, Windows 11 Home, Black",0.0,0,False,OMEN4104-A_CTO_N1,1199.0,HP,False
9SIBWYXKFS9345,desktop,"HZG Gaming Desktop Computer PC,Intel Core i5-13400F GeForce RTX 5060 8G 32GB RAM and 1TB NVMe M.2 SSD, WiFi6E, ARGB Fan, Prebuilt Gaming PC Tower Windows 11",4.7,133,True,ZJDS134050601TB,875.0,HZG,False
3D5-0007-00J68,desktop,"iBUYPOWER Element Gaming PC Desktop - AMD Ryzen 7 8700F, NVIDIA GeForce RTX 5060 8GB, 32GB DDR5 RGB RAM, 1TB NVMe SSD",4.7,6,False,EBA7N5602,949.99,iBUYPOWER,False
9SIB0GJKJ71664,desktop,"HP OMEN 16L i7 RTX 5060 Ti Gaming Desktop, Intel Core i7-14700F, NVIDIA GeForce RTX 5060 Ti, 64GB DDR5 RAM, 4TB SSD, DP, RJ-45, Wi-Fi 6, Windows 11 Home, Black",0.0,0,False,OMEN4106-F_CTO_N1,1749.0,HP,False
83-420-012,desktop,STORMCRAFT Gaming PC SKYHAWK PRO Intel Core i9-14900KF NVIDIA GeForce RTX 5070 Ti – AI Powered 32GB DDR5 6000MHz RGB 2TB NVMe SSD 360mm AIO  850W PSU Windows 11 Home - SP149KFCC-57TN1,4.8,71,True,SP149KFCC-57TN1,1899.99,STORMCRAFT,False
9SIC0PSKFZ9827,desktop,"Ningmei Gaming PC Desktop, AMD Ryzen 5 5500 4.2GHz , GeForce GTX 1660 Super PC, 6RGB Fans, 16GB DDR4 3200MHz , 1TB SSD NVMe , 650W PSU, 11AC Wi-Fi,  Windows 11 Home 64-bit, gaming pc",4.9,217,True,601NM1660SP161A,599.0,NINGMEI,False
9SIBNXWK4P7450,desktop,"MLOONG Gaming PC,AMD Ryzen 5 5500 4.2 GHz, AMD Radeon RX 6600 8GB Desktop Computer, 1TB NVMe SSD, 16GB DDR4 3200MHz, Air Cooled Prebuilt,650W PSU, Windows 11 Home,Tower Prebuilt  PC",4.8,173,True,601MLT0LFR5161A,659.0,MLOONG,False
3D5-002N-00085,desktop,"AVGPC Max Gaming PC, AMD Ryzen 5 5600G 6-Core 4.4 GHz Max Boost, AMD Radeon Vega 7 (GPU upgrade ready up to RTX 5070), 16GB 3200MHz DDR4, 1TB M.2 NVMe SSD, Hyper 212 RGB Cooler, Windows 11, Wi-Fi/AC",4.4,131,False,AV-MAX-5600G,529.99,AVGPC,False
3D5-0007-00J37,desktop,iBUYPOWER Element 9 White Gaming PC Desktop - AMD Ryzen 7 7800X3D - NVIDIA GeForce RTX 5070Ti 16GB - 32GB DDR5 RGB - 1TB NVMe SSD - EWA7N57T01,4.7,16,True,EWA7N57T01,1799.99,iBUYPOWER,False
9SIBWCHKG46715,desktop,Andromeda Insights V3 Ultra 50 - RTX 5080 16GB GDDR7 | Ryzen 7 9800X3D 4.7 GHz (5.2 GHz Turbo Boost) | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 850W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11,5.0,1,False,V3-RTX5080-9800X3D-2TB-32GB-850W-BLK,2399.99,Andromeda Insights,False
9SIBWYXKE12297,desktop,"HZG Gaming Desktop Computer PC,AMD Ryzen 7 5700G, AMD Radeon Vega 8,core 3.8GHz (up to 4.6GHz) 16GB RAM and 1TB NVMe M.2 SSD, WiFi6 ARGB Fan, Windows 11 Prebuilt Gaming PC Tower Windows 11",4.7,69,True,ZJDS5700GVEGA8,485.0,HZG,False
83-360-858,desktop,ABS Cyclone Aqua Gaming PC Powered by Asus - Windows 11 - Intel Core i5-14400F - GeForce RTX 5060 -  DLSS 4 - AI-Powered Performance - 32GB DDR4 3200 - 1TB M.2 NVMe SSD - CA14400F50602,4.6,275,True,CA14400F50602,829.99,ABS,False
9SIA1HJKG05005,desktop,"Skytech Shadow Gaming PC Desktop, Ryzen 7 7700 3.8 GHz (5.3GHz Turbo), AMD RX 9060 XT 16GB, 1TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000 RGB, 650W GOLD PSU, Wi-Fi, Win 11",0.0,0,False,ST-SHADOW4-1981-B-AL,1149.99,Skytech,False
83-360-931,desktop,ABS Stratos Ruby Gaming PC - Windows 11 - AMD Ryzen 7 9800X3D - GeForce RTX 5080 - DLSS 4 - AI-Powered Performance - 32GB DDR5 6400 - 2TB M.2 NVMe SSD - SR9800X3D50802,4.5,48,False,SR9800X3D50802,2299.99,ABS,False
83-101-919,desktop,"Acer Aspire Desktop Computer Intel Core i5-14400, Intel UHD Graphics 730, 8GB DDR5, 512 GB PCIe SSD, Windows 11 Home 64-bit - TC-1775-UR11",4.6,42,True,DT.BLRAA.001,499.99,Acer America,False
9SIBVKAKFU6785,desktop,YEAH MAGIC Gaming PC AMD Ryzen 7 9700X Zen5 NVIDIA GeForce RTX 5060Ti 16GB 32GB 6000MHz DDR5 1TB NVME M.2 SSD 360MM AIO Liquid Cooling WiFi/AC Windows 11 Home Full Clear-Side Desktop PC,0.0,0,False,YM97X5060T,1439.0,yeah magic,False
9SIA1HJKF14178,desktop,"Skytech Azure Gaming PC Desktop, Ryzen 7 7700 3.8 GHz (5.3GHz Turbo), NVIDIA RTX 5060 Ti 16GB GDDR7, 1TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000 RGB, 650W GOLD PSU, Wi-Fi, Win 11,Montech XR",4.6,23,True,ST-AZURE3-1886-B-AL,1199.99,Skytech,False
83-420-006,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i5-14400F NVIDIA GeForce RTX 5060 TI 8GB - AI Powered 32GB (16Gx2) DDR5 RGB 6000MHz 1TB NVMe SSD 650W PSU Windows 11 Home - SI1440FCB-56TN1,4.8,71,True,SI1440FCB-56TN1,999.99,STORMCRAFT,False
83-380-021,desktop,"Xidax X-6 Series AMD Ryzen 7 7800X3D 4.2Mhz (Max: 5.0Mhz), NVIDIA GeForce RTX 5060 8GB, 2TB NVMe M.2 SSD, 32GB (2x16GB) RAM, Window 11 Home Onami White Gaming Desktop - Assembled & Serviced in U.S.",0.0,0,False,16786,1456.99,XIDAX,False
9SIC0MFKKC3020,desktop,"ALCPOK Gaming PC Desktop, AMD Ryzen 5 9600X 3.9GHz(5.4GHz Turbo), RTX5060ti 8GB GDDR7 DLSS4, 32GB DDR5 RAM 6000MHz, 1TB NVME SSD, ARGB Water Cooling, WiFi Prebuilt Gaming Computer Windows 11",4.9,263,True,ZJDS9600X5060T81TB,1291.99,ALCPOK,False
83-253-005,desktop,"GIGABYTE AORUS SUPREME 5 Gaming Desktop PC, AMD Ryzen 7 9800X3D, GIGABYTE RTX 5080, 64GB DDR5 RAM, 2TB Gen5 NVMe SSD, Windows 11 Home, Black",3.6,18,False,AS5A7N8-5001,2699.99,GIGABYTE,False
83-151-689,desktop,MSI Gaming Desktop PC Codex Z2 B7NVL-448US AMD Ryzen 7 7700 32GB DDR5 2TB SSD GeForce RTX 5060 Windows 11 Home,4.4,45,False,Codex Z2 B7NVL-448US,1049.0,MSI,False
83-360-915,desktop,ABS Stratos Aqua Gaming PC - Windows 11 - Intel Core Ultra 7 265KF - GeForce RTX 5070 - DLSS 4 - AI-Powered Performance - 32GB DDR5 6400MHz - 2TB M.2 NVMe SSD - SA265KF50703,4.4,161,False,NPH#302,1499.99,ABS,False
83-360-914,desktop,ABS Flux II Aqua Gaming PC - Windows 11 - Intel Core i5-14400F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - FIIA14400F5060,4.6,275,True,FIIA14400F5060,799.99,ABS,False
3D5-000D-00261,desktop,"Cobratype Venom Gaming PC - Ryzen 7 9800X3D, RTX 5080, 360mm AIO Liquid Cooler, 32 GB DDR5 RAM, 2 TB NVMe, Windows 11",4.2,29,False,Venom98X58,2449.99,Cobratype,False
3D5-0007-00J36,desktop,iBUYPOWER Slate 9 Black Gaming PC Desktop - AMD Ryzen 7 7800X3D - AMD Radeon RX 9070XT 16GB - 32GB DDR5 RGB - 1TB NVMe SSD - SBA7R97XT01,3.5,17,False,SBA7R97XT01,1799.99,iBUYPOWER,False
83-420-037,desktop,STORMCRAFT Gaming PC WIZARD Intel Core i9-14900KF NVIDIA GeForce RTX 5070 Ti – AI Powered 32GB DDR5 6000MHz RGB 2TB NVMe SSD 360mm AIO 850W PSU Windows 11 Home - WI149KFCC-57TN1,4.8,71,True,WI149KFCC-57TN1,1899.99,STORMCRAFT,False
3D5-000Z-002F0,desktop,"Skytech Gaming Prism 4 Desktop PC, Ryzen 7 9800X3D 4.7 GHz (5.2 GHz Turbo), AMD RX 9070 XT 16GB, X670 Board, 2TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000, 850W GOLD ATX 3 PSU, 360mm ARGB AIO , Wi-Fi, Win 11",4.5,30,False,ST-PRISM4-1796-B-AL,2099.99,Skytech,False
83-360-909,desktop,ABS Stratos Ruby Gaming PC Powered by Asus - Windows 11 - AMD Ryzen 7 9800X3D - GeForce RTX 5070 - DLSS 4 - AI-Powered Performance - 32GB DDR5 6000 - 2TB M.2 NVMe SSD - SR9800X3D50702,4.2,44,False,SR9800X3D50702,1699.99,ABS,False
83-420-005,desktop,STORMCRAFT Gaming PC Intel SIRIUS Core i7-14700F NVIDIA GeForce RTX 5060- AI Powered 32GB (16Gx2) DDR5 RGB 6000MHz 2TB NVMe SSD 650W PSU Windows 11 Home - SI1470FCC-560N1,4.8,71,True,SI1470FCC-560N1,1099.99,STORMCRAFT,False
83-151-622,desktop,MSI Gaming Desktop PC Aegis Z2 A8NVP-1447US AMD Ryzen 7 8700F 32GB DDR5 1TB NVMe SSD GeForce RTX 5070 Windows 11 Home Advance,4.4,45,False,Aegis Z2 A8NVP-1447US,1449.0,MSI,False
9SIAZBDK9U1163,desktop,"MXZ Gaming PC ,AMD Ryzen 7 7700 , GeForce RTX 4070 SUPER ,32GB(16GB*2)DDR5 6000MHz, NVME M2 1 T, 6RGB Fans,Windows 11 Pro Ready to use, Gamer Desktop Computer(R7 7700| RTX 4070 SUPER)",4.9,32,True,R7 7700| RTX 4070S,1329.0,MXZ,False
9SIA1HJKFK9659,desktop,"Skytech Gaming Azure 3 Plus Gaming PC, AMD Ryzen 7 9800X3D 4.7GHz, NVIDIA RTX 5070 Ti 16GB, 2TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000, 850W GOLD ATX 3 PSU, 360 ARGB AIO , Wi-Fi, Win 11, Desktop",4.7,11,False,ST-AZURE3PLUS-1902-W-AL,1999.99,Skytech,False
83-360-882,desktop,ABS Favonius Aqua Gaming PC - Windows 11 - Intel Core i7-14700F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - FA14700F5060,4.1,70,False,FA14700F5060,959.99,ABS,False
9SIC1CNKJT1106,desktop,"LXZ Gaming PC Desktop,AMD Ryzen 5 5600GT,16GB DDR4 3200MHz,1TB NVMe SSD,Supports WiFi 6, RGB Fans,Seaview-style PC case,Prebuilt Gaming PC Tower Black",4.6,446,True,LXZ_R5go-5600GT-B,396.99,LXZ,False
83-360-910,desktop,ABS Cyclone Aqua Gaming PC - Windows 11 - Intel Core i5-14400F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA14400F50604,4.6,275,True,CA14400F50604,799.99,ABS,False
83-151-613,desktop,MSI Vision RS Series Gaming Desktop PC Intel Core Ultra 9 285K 64GB DDR5 2 TB SSD GeForce RTX 5070 Ti Windows 11 Pro (Vision RS AI 2NVR9-1292US),4.5,60,False,Vision RS AI 2NVR9-1292US,2349.0,MSI,False
83-360-913,desktop,ABS Cyclone Aqua Gaming PC Powered by Asus - Windows 11 - Intel Core i7-14700F - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR5 6400MHz - 1TB M.2 NVMe SSD - CA14700F50603,4.1,70,False,CA14700F50603,999.99,ABS,False
3D5-000D-00246,desktop,"Cobratype Venom Gaming PC - Ryzen 9 9900X, RTX 5080, 360mm AIO Liquid Cooler, 32 GB DDR5 RAM, 2 TB NVMe, Windows 11",4.2,29,False,Venom958,2349.99,Cobratype,False
3D5-000Z-002K1,desktop,"Skytech Azure Gaming PC Desktop, Ryzen 7 7800X3D 4.2 GHz (5GHz Turbo), AMD RX 9070 XT 16GB, 2TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000 RGB, 850W GOLD ATX 3 PSU, 360mm ARGB AIO , Wi-Fi, Win 11,Montech XR",4.5,30,False,ST-AZURE3-1918-B-AL,1829.99,Skytech,False
83-360-855,desktop,ABS Cyclone Ruby Gaming PC - Windows 11 - AMD Ryzen 7 9700X - GeForce RTX 5060 - 32GB DDR5 6400 - 1TB M.2 NVMe SSD - CR9700X50602,4.6,123,True,CR9700X50602,1149.99,ABS,False
83-420-035,desktop,STORMCRAFT Gaming PC PHANTOM INTEL Core Ultra 7 265F NVIDIA RTX 5080 - AI Powered 32GB DDR5 6000MHz RGB 2TB NVMe SSD 360mm AIO 850W PSU Windows 11 Home-PH265F0CC-580N1,4.8,71,True,PH265F0CC-580N1,1999.99,STORMCRAFT,False
83-253-006,desktop,"GIGABYTE AORUS SUPREME 5 ICE Gaming Desktop PC, AMD Ryzen 7 9800X3D, AORUS RTX 5090, 64GB DDR5 RAM, 2TB Gen5 NVMe SSD, Windows 11 Home, White",3.4,15,False,AS5IA7N9-5002,3899.99,GIGABYTE,False
3D5-0007-00J35,desktop,iBUYPOWER Element 9 Pro Black Gaming PC Desktop - Intel Core Ultra 7 265KF - NVIDIA GeForce RTX 5070Ti 16GB - 32GB DDR5 RGB - 2TB NVMe SSD - EPBI7N57T01,4.7,16,True,EPBI7N57T01,1999.99,iBUYPOWER,False
83-360-938,desktop,ABS Flux II Aqua Gaming PC Powered by Asus - Windows 11 - Intel Core i5-14400F - RTX 5060 8GB - DLSS 4 - AI-Powered Performance - 32GB DDR4 3200 - 1TB M.2 NVMe SSD - FIIA14400F50602,4.6,275,True,FIIA14400F50602,799.99,ABS,False
83-151-665,desktop,MSI Gaming Desktop PC Codex Z2 B7NVM-442US AMD Ryzen 7 7700 32GB DDR5 2TB SSD GeForce RTX 5060 Ti Windows 11 Home,4.5,60,False,Codex Z2 B7NVM-442US,1249.0,MSI,False
83-420-026,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i5-14400F NVIDIA GeForce RTX 5060  – AI Powered 32GB DDR5 6000MHz RGB 2TB NVMe SSD 650W PSU Windows 11 Home - SI1440FCC-560N1,4.7,60,True,SI1440FCC-560N1,979.99,STORMCRAFT,False
9SIAZEBGV98270,desktop,IPASON - Gaming desktop - AMD Ryzen 5 5600GT 6 core  up to 4.6GHz - 16GB DDR4 3200MHz - 1TB M.2 NVMe - 550W PSU - Windows 11 home - WIFI - Gaming PC,4.2,566,False,egg5600g500g16g,468.0,IPASON,False
9SIAZBDK1P2523,desktop,"MXZ Gaming PC Desktop Computer, AMD Ryzen 5 5600 3.7GHz, GeForce RTX 4060 , 16GB DDR4, NVME 1T SSD, 6RGB Fans, Win 11 Pro Ready, Gamer Desktop Computer(R5 5600| RTX 4060)",4.6,101,True,R5 5600| RTX 4060,799.0,MXZ,False
83-101-909,desktop,"Acer Nitro 50 Gaming Desktop PC, Intel Core i5-14400F, GeForce RTX 3050, 16GB DDR5, 1 TB PCIe SSD, Windows 11 Home, N50-656-UR12",4.3,84,False,DG.E3VAA.001,699.99,Acer America,False
9SIBX22KD56467,desktop,"Suevery Gaming PC, AMD Ryzen 5 5600GT, Vega 7 Graphics, 16GB RAM, 512GB SSD, Wi-Fi 6, Windows 11 Home, Compact Desktop-White",5.0,1,False,SUT1W5,399.99,suevery,False
9SIB11NK424085,desktop,Hoengager Gaming PC -AMD Ryzen 7 5700X 3.4 GHz-RTX 5060 8GB-32GB DDR4 RAM-1TB M.2 SSD-240 Liquid Cooler -WIFI &Bluetooth -RGB Fans-Windows 11 Pro Desktop Computer-White,4.3,63,False,CBDTHEFKW5700XLQ32G1T4068GW11P,979.99,Hoengager,False
9SIC0PSKGE6977,desktop,"Ningmei Gaming Desktop Computer PC, AMD Ryzen 7 5700X, RTX 5060 Ti 8G, 32GB DDR4 RAM, 1TB NVME SSD, 240 Liquid Cooler, 650W PSU, Wi-Fi, ARGB Fans , Game Design Office, Windows 11 Home , Gaming PC",4.9,95,True,601GS240BR7321B,1069.0,NINGMEI,False
9SIAHT3KD95103,desktop,"Cobratype Ghost Gaming PC - Ryzen 9 9900X, RTX 5080, 360mm AIO Liquid Cooler, 32 GB DDR5 RAM, 2 TB NVMe, Windows 11",4.3,21,False,Ghost58,2549.99,Cobratype,False
9SIBMARK005257,desktop,"VTG white Gaming Desktop PC , Ryzen5 9600X, Radeon RX 9060XT 16G,32GB DDR5 1TB NVMe SSD, 650W GOLD PSU, Wi-Fi,360 Liquid Cooler,ARGB Fans,Windows 11 Home 64-bit ,Prebuilt Gaming Pc New computer",4.1,82,False,VTG5700X-4060,1149.0,VTG,False
9SIA1HJKEB5307,desktop,"Skytech Azure Gaming PC Desktop, Ryzen 7 9800X3D 4.7 GHz (5.2 GHz Turbo Boost), AMD RX 9070 XT 16GB GDDR6, 2TB Gen4 NVME SSD, 32GB DDR5 RAM 6000 RGB, 1000W GOLD PSU, Wi-Fi, Win 11",4.5,30,False,ST-AZURE3-1747-W-AL,1899.99,Skytech,False
9SIAZBDJ462161,desktop,"MXZ Gaming PC Computer AMD Ryzen 5 5500 3.6GHz, RTX 3060 12GB, B450M,16GB(8G*2) DDR4 3200,NVME 1T SSD, 6RGB Fans, WIFI & Win 11 Pro Ready, Gamer Desktop Computer (R5 5500/RTX 3060)",4.6,108,True,R5 5500|RTX3060,749.0,MXZ,False
83-420-025,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i5-14400F NVIDIA GeForce RTX 5060  – AI Powered 16GB DDR5 6000MHz RGB 1TB NVMe SSD 650W PSU Windows 11 Home - SI1440FBB-560N1,4.7,60,True,SI1440FBB-560N1,869.99,STORMCRAFT,False
9SIC2PHKKT5768,desktop,"ZYNEEX Gaming PC Desktop, AMD Ryzen 5 5500 (4.2GHz Turbo), RX6600 8GB GDDR6, 16GB DDR4 RAM 3200MHz, 1TB NVME SSD, Air Cooling, WiFi Prebuilt Gaming Computer Windows 11",5.0,186,True,R5 5500-RX6600-D416G-1T,629.0,ZYNEEX,False
83-420-032,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i5-14400F NVIDIA GeForce RTX 5060 – AI Powered 32GB DDR5 6000MHz RGB 1TB NVMe SSD 650W PSU Windows 11 Home - SI1440FCB-560N1,4.7,60,True,SI1440FCB-560N1,899.99,STORMCRAFT,False
83-151-694,desktop,MSI Gaming Desktop PC Aegis Z2 A8NVR-1611US AMD Ryzen 7 8700F 32GB DDR5 2TB NVMe SSD GeForce RTX 5070 Ti Windows 11 Home,4.4,45,False,Aegis Z2 A8NVR-1611US,1699.99,MSI,False
83-360-834,desktop,ABS Cyclone Ruby Gaming PC - Windows 11 - AMD Ryzen 7 9700X - GeForce RTX 5060 - DLSS 4 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CR9700X5060,4.6,123,True,CR9700X5060,1149.99,ABS,False
9SIBWCHKG46715,desktop,Andromeda Insights V3 Ultra 50 - RTX 5080 16GB GDDR7 | Ryzen 7 9800X3D 4.7 GHz (5.2 GHz Turbo Boost) | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 850W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11,5.0,1,False,V3-RTX5080-9800X3D-2TB-32GB-850W-BLK,2399.99,Andromeda Insights,False
83-630-094,desktop,YEYIAN Gaming Desktop PC TANTO INTEL Core i7-14700F GeForce RTX5060 8GB 32GB DDR5 1TB SSD 650W Gold PSU Windows 11 Home,4.1,344,False,YPI-TA47F0C-5601N,979.99,YEYIAN,False
3D5-000Z-002R9,desktop,"Skytech Gaming Azure 3 Desktop PC, Ryzen 7 7700 3.8 GHz (5.3GHz Turbo), AMD RX 9060 XT 16GB, 1TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000 RGB, 650W GOLD PSU, Wi-Fi, Win 11",4.5,2,False,ST-AZURE3-1982-W-AL,1189.99,Skytech,False
9SIBNXWKJE4077,desktop,"Mloong Gaming PC Desktop, AMD Ryzen 7 8700F 4.1 GHz (5.0Ghz Turbo), NVIDIA RTX 5060 Ti 8GB GDDR7, 1TB Gen4 NVMe SSD, 32GB 6000Mhz DDR5 RAM, 650W PSU, Wi-Fi, Win 11 Home Prebuilt PC, Black",5.0,51,True,601MLT8700F321B,1179.0,MLOONG,False
3D5-002N-000G8,desktop,"AVGPC Mini-X Gaming PC - Ryzen 7 5700X, AMD Radeon RX 9060 XT 16GB VRAM, 32GB 3200MHz DDR4 RAM, 1TB NVME M.2 SSD, Hyper 212 Cooler, Wifi/AC, black Case, Windows 11",4.4,131,False,AV-Mini-X-9060-16G-B,979.99,AVGPC,False
9SIA1HJKF14254,desktop,"Skytech Azure Gaming PC Desktop, Ryzen 7 9700X 3.8 GHz (5.5GHz Turbo), NVIDIA RTX 5060 Ti 16GB GDDR7, 2TB Gen4 NVMe SSD, 32GB DDR5 RAM 6000 RGB, 850W GOLD ATX 3 PSU, 360mm ARGB AIO , Wi-Fi, Win 11",4.6,23,True,ST-AZURE3-1899-B-AL,1499.99,Skytech,False
9SIC14VKN01176,desktop,"IPASON Xelra Gaming Desktop PC,AMD Ryzen5 9600X,Geforce RTX 5060 8G,32GB DDR5,1TB NVMe SSD,Wi-Fi,Windows 11 Home,Black Prebuilt Pc Computer",4.7,97,True,EGG96X+5060,1049.99,IPASON,False
